pickup_datetime,dropoff_datetime,trip_distance,passenger_count,payment_amount
1/1/16 0:53,1/1/16 1:03,1.59,1,11.76
1/1/16 0:54,1/1/16 1:00,1.3,1,9.35
1/1/16 0:54,1/1/16 1:04,1.62,1,12.88
1/1/16 0:54,1/1/16 1:24,4.92,3,25.8
1/1/16 0:54,1/1/16 1:06,3.26,5,15.36
1/1/16 0:54,1/1/16 0:58,0.57,3,5.8
1/1/16 0:55,1/1/16 1:26,8,1,36.35
1/1/16 0:55,1/1/16 1:08,1.99,1,12.3
1/1/16 0:55,1/1/16 1:03,1.04,1,9.36
1/1/16 0:55,1/1/16 0:59,0.83,2,8.19
1/1/16 0:55,1/1/16 1:17,4.9,1,29.3
1/1/16 0:56,1/1/16 1:09,2.6,2,13.3
1/1/16 0:56,1/1/16 1:16,3.9,1,20.75
1/1/16 0:56,1/1/16 0:59,0.6,1,5.3
1/1/16 0:56,1/1/16 1:18,2.96,1,20.16
1/1/16 0:56,1/1/16 1:06,1.4,1,10.8
1/1/16 0:57,1/1/16 1:05,1.7,1,9.3
1/1/16 0:57,1/1/16 1:03,1.5,2,8.3
1/1/16 0:57,1/1/16 1:01,0.3,1,5.3
1/1/16 0:57,1/1/16 1:00,1.04,1,6.3
1/1/16 0:57,1/1/16 1:04,1.4,1,8.3
1/1/16 0:58,1/1/16 1:21,5.1,1,21.3
1/1/16 0:58,1/1/16 1:03,0.91,1,7.8
1/1/16 0:58,1/1/16 1:08,1.8,1,11.8
1/1/16 0:58,1/1/16 1:18,5.35,5,21.3
1/1/16 0:58,1/1/16 1:04,1.1,2,8.4
1/1/16 0:59,1/1/16 1:35,7.85,1,39.12
1/1/16 0:59,1/1/16 1:04,1.3,1,8.76
1/1/16 0:59,1/1/16 1:06,2.4,1,12.3
1/1/16 0:59,1/1/16 1:17,5.3,1,20.8
1/1/16 0:59,1/1/16 1:11,1.5,1,10.3
1/1/16 1:00,1/1/16 1:02,0.7,1,5.3
1/1/16 1:00,1/1/16 1:09,1.46,6,12.74
1/1/16 1:00,1/1/16 1:45,12.32,1,42.3
1/1/16 1:00,1/1/16 1:04,0.83,1,6.3
1/1/16 1:01,1/1/16 1:30,4.48,1,22.3
1/1/16 1:01,1/1/16 1:03,0.1,1,4.8
1/1/16 1:01,1/1/16 1:36,9.5,5,35.3
1/1/16 1:01,1/1/16 1:10,2.2,3,10.3
1/1/16 1:01,1/1/16 1:13,3.16,1,13.3
1/1/16 1:01,1/1/16 1:02,0,1,215.3
1/1/16 1:02,1/1/16 1:08,0.34,1,6.8
1/1/16 1:02,1/1/16 1:21,5.2,2,23.75
1/1/16 1:02,1/1/16 1:17,2.7,2,13.8
1/1/16 1:02,1/1/16 1:27,3.94,1,23.76
1/1/16 1:03,1/1/16 1:27,4.63,2,19.8
1/1/16 1:03,1/1/16 1:37,3.01,1,22.8
1/1/16 1:03,1/1/16 1:03,0,1,3.8
1/1/16 1:03,1/1/16 1:11,3.2,1,14.76
1/1/16 1:03,1/1/16 1:07,1.4,1,9.3
1/1/16 1:04,1/1/16 1:09,1,2,8.3
1/1/16 1:04,1/1/16 1:31,3.4,1,22.3
1/1/16 1:04,1/1/16 1:06,0.3,5,4.8
1/1/16 1:04,1/1/16 1:15,2.4,1,11.8
1/1/16 1:04,1/1/16 1:08,0.6,1,6.96
1/1/16 1:05,1/1/16 1:10,0.5,3,8.5
1/1/16 1:05,1/1/16 1:23,2.5,2,15.75
1/1/16 1:05,1/1/16 1:19,2.04,2,11.8
1/1/16 1:05,1/1/16 1:16,1.18,2,11.76
1/1/16 1:05,1/1/16 1:12,1.41,1,8.3
1/1/16 1:06,1/1/16 1:31,8.1,1,31.3
1/1/16 1:06,1/1/16 1:21,1.5,1,11.8
1/1/16 1:06,1/1/16 1:11,0.7,2,8.15
1/1/16 1:06,1/1/16 1:12,0.34,1,8.19
1/1/16 1:06,1/1/16 1:10,0.8,1,6.3
1/1/16 1:07,1/1/16 1:15,1.5,1,11
1/1/16 1:07,1/1/16 1:14,0.66,1,8.76
1/1/16 1:07,1/1/16 1:28,2.5,1,18.35
1/1/16 1:07,1/1/16 1:29,4.8,1,21.3
1/1/16 1:07,1/1/16 1:12,0.6,1,6.3
1/1/16 1:08,1/1/16 1:14,0.5,1,8.75
1/1/16 1:08,1/1/16 1:12,1.27,1,8.16
1/1/16 1:08,1/1/16 1:10,0.47,1,4.8
1/1/16 1:08,1/1/16 1:15,1.1,1,9.3
1/1/16 1:08,1/1/16 1:18,2.77,1,12.3
1/1/16 1:09,1/1/16 1:09,0,2,60.3
1/1/16 1:09,1/1/16 1:10,0,1,3.8
1/1/16 1:09,1/1/16 1:15,0.89,1,8.16
1/1/16 1:09,1/1/16 1:25,2.47,1,13.8
1/1/16 1:10,1/1/16 1:15,1.1,1,7.3
1/1/16 1:10,1/1/16 1:27,1.9,2,14.3
1/1/16 1:10,1/1/16 1:28,3.25,1,18.96
1/1/16 1:10,1/1/16 1:19,1.88,1,11.76
1/1/16 1:10,1/1/16 1:39,14.58,1,47.84
1/1/16 1:11,1/1/16 1:36,9.3,1,35.84
1/1/16 1:11,1/1/16 1:25,1.7,1,12.9
1/1/16 1:11,1/1/16 1:45,7.9,1,29.8
1/1/16 1:11,1/1/16 1:20,2.6,2,16.84
1/1/16 1:11,1/1/16 1:14,0.57,1,5.3
1/1/16 1:12,1/1/16 1:22,1.61,4,11.76
1/1/16 1:12,1/1/16 1:27,3.9,1,17.3
1/1/16 1:12,1/1/16 1:48,5.8,3,33.36
1/1/16 1:12,1/1/16 1:36,4.5,1,24.75
1/1/16 1:12,1/1/16 1:25,2.46,2,12.3
1/1/16 1:13,1/1/16 1:16,0.36,1,6.36
1/1/16 1:13,1/1/16 1:30,3.35,1,14.8
1/1/16 1:13,1/1/16 1:34,2.9,1,16.3
1/1/16 1:13,1/1/16 1:36,6.6,2,29.15
1/1/16 1:13,1/1/16 1:18,0.8,1,7.3
1/1/16 1:14,1/1/16 1:24,1.4,1,9.8
1/1/16 1:14,1/1/16 1:25,1.9,4,13.55
1/1/16 1:14,1/1/16 1:44,6,1,30
1/1/16 1:14,1/1/16 1:55,8.2,1,42.25
1/1/16 1:14,1/1/16 1:52,8.3,1,32.3
1/1/16 1:15,1/1/16 1:26,2.2,2,11.8
1/1/16 1:15,1/1/16 1:24,1.8,3,9.8
1/1/16 1:15,1/1/16 1:27,3.31,6,15.96
1/1/16 1:15,1/1/16 1:21,1,2,9
1/1/16 1:15,1/1/16 1:37,0.7,1,14.3
1/1/16 1:16,1/1/16 1:23,1.3,1,8.8
1/1/16 1:16,1/1/16 1:32,2.47,1,15.3
1/1/16 1:16,1/1/16 1:50,9.53,5,34.8
1/1/16 1:16,1/1/16 1:25,1.1,1,11
1/1/16 1:16,1/1/16 1:36,3.2,2,15.8
1/1/16 1:17,1/1/16 1:30,4.5,3,20.75
1/1/16 1:17,1/1/16 1:25,1.1,1,9.95
1/1/16 1:17,1/1/16 1:36,4.5,2,22.55
1/1/16 1:17,1/1/16 1:29,2.4,2,15.35
1/1/16 1:17,1/1/16 1:24,0.7,3,7.3
1/1/16 1:18,1/1/16 1:27,2.7,1,11.8
1/1/16 1:18,1/1/16 1:27,1.04,1,9.8
1/1/16 1:18,1/1/16 1:33,5.18,1,23.16
1/1/16 1:18,1/1/16 1:27,2,1,10.3
1/1/16 1:18,1/1/16 1:37,2.68,2,16.3
1/1/16 1:19,1/1/16 1:38,4.78,2,21.96
1/1/16 1:19,1/1/16 1:37,6.1,1,22.3
1/1/16 1:19,1/1/16 1:25,1,2,8.75
1/1/16 1:19,1/1/16 1:51,4.8,2,28.55
1/1/16 1:20,1/1/16 1:33,4.2,1,15.3
1/1/16 1:20,1/1/16 1:34,4.47,1,19.56
1/1/16 1:20,1/1/16 1:34,3.65,2,15.3
1/1/16 1:20,1/1/16 1:24,0.4,1,6.95
1/1/16 1:20,1/1/16 1:40,3.7,1,21
1/1/16 1:21,1/1/16 1:33,1.11,1,12.36
1/1/16 1:21,1/1/16 1:30,1.9,2,10.3
1/1/16 1:21,1/1/16 1:26,1.2,6,9.45
1/1/16 1:21,1/1/16 1:51,4.68,1,22.3
1/1/16 1:21,1/1/16 1:28,1.6,1,8.3
1/1/16 1:22,1/1/16 1:40,3.3,1,20.3
1/1/16 1:22,1/1/16 1:33,2.19,1,13.56
1/1/16 1:22,1/1/16 1:31,1.4,2,9.3
1/1/16 1:22,1/1/16 1:34,2.03,1,10.8
1/1/16 1:22,1/1/16 1:49,5.23,2,27.36
1/1/16 1:23,1/1/16 1:32,1.7,1,11.15
1/1/16 1:23,1/1/16 2:16,10.18,1,39.8
1/1/16 1:23,1/1/16 1:38,3.22,5,17.76
1/1/16 1:23,1/1/16 1:52,2.89,1,19.3
1/1/16 1:23,1/1/16 1:32,0.96,1,11.44
1/1/16 1:24,1/1/16 1:47,4.43,5,23.16
1/1/16 1:24,1/1/16 1:32,2.2,1,9.8
1/1/16 1:24,1/1/16 1:42,2.34,2,17.3
1/1/16 1:24,1/1/16 1:30,1,3,8.3
1/1/16 1:24,1/1/16 1:33,0.9,2,9.95
1/1/16 1:25,1/1/16 1:44,4.7,1,18.8
1/1/16 1:25,1/1/16 1:34,2.5,1,13.5
1/1/16 1:25,1/1/16 1:37,2.6,1,12.3
1/1/16 1:25,1/1/16 1:41,3.1,1,14.3
1/1/16 1:25,1/1/16 1:49,4.7,2,24.35
1/1/16 1:26,1/1/16 1:33,0.71,1,7.8
1/1/16 1:26,1/1/16 1:34,1.9,3,13.8
1/1/16 1:26,1/1/16 1:34,1.5,1,10.8
1/1/16 1:26,1/1/16 1:38,2.4,4,14.75
1/1/16 1:26,1/1/16 1:50,9.6,1,30.3
1/1/16 1:27,1/1/16 1:31,0.55,5,5.3
1/1/16 1:27,1/1/16 1:42,3.39,1,14.3
1/1/16 1:27,1/1/16 1:47,3.24,1,18.3
1/1/16 1:27,1/1/16 1:58,9.59,6,38.16
1/1/16 1:27,1/1/16 1:37,1.4,2,10.8
1/1/16 1:28,1/1/16 1:39,1.7,4,11.3
1/1/16 1:28,1/1/16 1:51,4.75,1,32.3
1/1/16 1:28,1/1/16 1:33,0.92,1,8.16
1/1/16 1:28,1/1/16 1:35,1,1,7.8
1/1/16 1:29,1/1/16 1:39,1.7,2,11.75
1/1/16 1:29,1/1/16 1:47,4.3,1,21.35
1/1/16 1:29,1/1/16 1:34,0.7,1,6.3
1/1/16 1:29,1/1/16 1:35,1.22,6,10.38
1/1/16 1:29,1/1/16 1:42,2.44,5,11.8
1/1/16 1:30,1/1/16 2:12,12.51,1,70.3
1/1/16 1:30,1/1/16 1:37,1.1,1,8.3
1/1/16 1:30,1/1/16 1:41,1.4,2,12.7
1/1/16 1:30,1/1/16 1:44,2.8,2,16.3
1/1/16 1:30,1/1/16 2:00,18.18,2,51.3
1/1/16 1:31,1/1/16 1:39,1.24,3,8.3
1/1/16 1:31,1/1/16 1:40,1.41,1,10.56
1/1/16 1:31,1/1/16 1:38,1.4,1,10.35
1/1/16 1:31,1/1/16 1:53,4.1,1,21.3
1/1/16 1:31,1/1/16 1:43,2.48,3,14.16
1/1/16 1:32,1/1/16 1:47,6.88,1,22.3
1/1/16 1:32,1/1/16 1:59,8.87,5,33.8
1/1/16 1:32,1/1/16 1:37,0.97,1,8.84
1/1/16 1:32,1/1/16 1:52,3.93,1,16.8
1/1/16 1:33,1/1/16 1:36,0.99,1,7.56
1/1/16 1:33,1/1/16 1:51,7.39,1,27.96
1/1/16 1:33,1/1/16 1:35,0.8,1,6.96
1/1/16 1:33,1/1/16 2:17,12.83,5,54.12
1/1/16 1:33,1/1/16 1:55,5.7,2,24.95
1/1/16 1:34,1/1/16 1:46,2.2,2,13.55
1/1/16 1:34,1/1/16 1:38,1.26,1,8.76
1/1/16 1:34,1/1/16 1:43,1.1,1,10.55
1/1/16 1:34,1/1/16 1:51,1.4,4,13.3
1/1/16 1:34,1/1/16 1:40,1.16,1,8.8
1/1/16 1:35,1/1/16 1:38,0.69,5,6.96
1/1/16 1:35,1/1/16 1:49,4,1,19.55
1/1/16 1:35,1/1/16 1:48,2.5,1,14.75
1/1/16 1:35,1/1/16 1:52,3.14,2,15.3
1/1/16 1:36,1/1/16 1:51,2.87,1,16.56
1/1/16 1:36,1/1/16 1:57,3.44,1,22.49
1/1/16 1:36,1/1/16 1:54,4.4,2,20.8
1/1/16 1:36,1/1/16 1:44,1.6,1,12.09
1/1/16 1:36,1/1/16 1:40,0.4,1,6.96
1/1/16 1:37,1/1/16 1:53,4.9,1,19.8
1/1/16 1:37,1/1/16 1:40,0.5,1,5.8
1/1/16 1:37,1/1/16 1:43,1.12,6,7.8
1/1/16 1:37,1/1/16 2:02,5.5,1,21.8
1/1/16 1:37,1/1/16 1:52,2.53,1,13.3
1/1/16 1:38,1/1/16 1:52,5.4,1,22.55
1/1/16 1:38,1/1/16 1:49,1.6,1,12.32
1/1/16 1:38,1/1/16 2:00,9.2,2,35.15
1/1/16 1:38,1/1/16 1:59,3.7,1,21.95
1/1/16 1:38,1/1/16 1:43,1.07,2,8.16
1/1/16 1:39,1/1/16 1:46,0.8,1,9.8
1/1/16 1:39,1/1/16 1:57,2,5,14.3
1/1/16 1:39,1/1/16 1:53,3,1,16.55
1/1/16 1:39,1/1/16 1:51,1.77,1,10.8
1/1/16 1:39,1/1/16 1:55,4.9,1,21.95
1/1/16 1:40,1/1/16 1:52,1.91,1,11.3
1/1/16 1:40,1/1/16 1:45,0.6,1,7.56
1/1/16 1:40,1/1/16 1:50,1.9,1,10.8
1/1/16 1:40,1/1/16 2:01,3.9,1,22.45
1/1/16 1:41,1/1/16 1:45,1.27,1,9.12
1/1/16 1:41,1/1/16 1:58,3.98,2,17.8
1/1/16 1:41,1/1/16 1:59,3.71,2,17.8
1/1/16 1:41,1/1/16 1:47,1.6,1,9.96
1/1/16 1:41,1/1/16 2:00,3.41,1,17.8
1/1/16 1:42,1/1/16 1:46,0.74,1,6.3
1/1/16 1:42,1/1/16 2:13,4.7,1,28.5
1/1/16 1:42,1/1/16 1:53,1.7,4,10.8
1/1/16 1:42,1/1/16 1:45,1.14,1,6.3
1/1/16 1:42,1/1/16 2:11,7.2,2,30.35
